Text,Sentiment
I’m thrilled with this purchase, positive
I wish I could return it, negative
I’m so glad I chose this, positive
I regret buying this, negative
I love it more each day, positive
Definitely wouldn’t buy this again, negative
It’s been a wonderful experience, positive
I am so disappointed with this, negative
Perfect for what I needed, positive
This is a total waste, negative
I love this so much, positive
Very disappointed in the quality, negative
It’s exactly what I was hoping for, positive
This is completely unusable, negative
Such a high-quality product, positive
I’m never purchasing this again, negative
So easy to set up, positive
I’m highly dissatisfied, negative
It’s very user-friendly, positive
Not worth your time or money, negative
It’s one of the best purchases I’ve made, positive
This is the worst customer service ever, negative
Incredible quality for the price, positive
I’ll never buy anything from this brand again, negative
I can’t believe how good this is, positive
Not what I expected at all, negative
A must-buy for anyone, positive
I’m furious about this purchase, negative
I’ve been telling everyone about this, positive
Very poor product quality, negative
I absolutely recommend this, positive
I won’t buy this again, negative
Best product I’ve purchased in years, positive
Terrible experience, negative
This product has changed my life, positive
The customer service was excellent,positive
This was a total disappointment,negative
I’m thrilled with my new purchase,positive
The product is completely broken,negative
I couldn’t be happier with this item,positive
I expected better quality,negative
Best experience I’ve had,positive
The item arrived damaged,negative
I’ve recommended this to all my friends,positive
It’s not worth the price,negative
This product has been a game changer for me,positive
I’m highly dissatisfied with the quality,negative
I’m extremely happy with my purchase,positive
It doesn’t work like it’s supposed to,negative
This is my new favorite product,positive
It’s a complete failure,negative
I would definitely buy this again,positive
I can’t believe how bad this is,negative
I’m so pleased with how it turned out,positive
This was a complete waste of money,negative
I’m in love with this product,positive
I regret spending my money on this,negative
It’s exactly what I was looking for,positive
It didn’t live up to my expectations,negative
So happy with my choice,positive
The product doesn’t do what it claims,negative
I’m blown away by how great it is,positive
I’m never buying from this brand again,negative
One of the best purchases I’ve made,positive
I’m really upset with how it turned out,negative
I’m so happy with this, I’m telling everyone,positive
I would never recommend this to anyone,negative
It works just like it’s supposed to,positive
It’s far worse than I imagined,negative
I’m very satisfied with my purchase,positive
I can’t believe how bad the quality is,negative
It’s perfect for what I needed,positive
I would not buy this again,negative
Totally worth the money,positive
I can’t wait to return this,negative
I’m very impressed with this product,positive
Very poor quality, negative
This exceeded all my expectations,positive
It didn’t meet my expectations at all,negative
I’m really pleased with how it works,positive
It’s not at all as described,negative
It’s fantastic, I’m so glad I bought it,positive
I’m so disappointed in this purchase,negative
So easy to use and very effective,positive
Definitely not worth the cost,negative
I highly recommend this product,positive
The item was faulty and not functional,negative
Absolutely love it, will buy again,positive
The product stopped working after one day,negative
I’m extremely happy with this product,positive
The customer support was unhelpful,negative
I can’t say enough good things about this,positive
The quality is terrible, negative
The product works as advertised,positive
This was a complete disaster, negative
Very impressed, would buy again,positive
It’s the worst purchase I’ve made, negative
Amazing value for the price, positive
I’ll never purchase from here again, negative
This is a fantastic product, positive
I don’t think it was worth the money, negative
Best purchase of the year, positive
The product is defective, negative
I’m glad I made this purchase, positive
It’s completely useless, negative
Really great quality and easy to use, positive
This product is awful, negative
Absolutely love it, worth every penny, positive
I’m really upset with this purchase, negative
Perfect for what I needed, positive
I regret buying this, negative
It’s everything I hoped for and more, positive
This product is terrible, negative
I’m very happy with this product, positive
It doesn’t work as expected, negative
It’s been a great experience, positive
I’m not happy with the product, negative
One of the best decisions I’ve made, positive
This is a huge disappointment, negative
I would highly recommend this, positive
I’m really dissatisfied with my purchase, negative
So glad I bought this, positive
It’s a waste of money, negative
It exceeded my expectations, positive
The product didn’t even turn on, negative
I couldn’t be more pleased with this, positive
Not worth buying at all, negative
It’s a game changer, positive
I’m regretting my purchase, negative
So easy to use and very effective, positive
I wouldn’t recommend this to anyone, negative
Amazing product, totally worth it, positive
The worst product I’ve ever bought, negative
Definitely a must-have, positive
I’m very unhappy with this, negative
So happy I found this, positive
Very disappointing product, negative
I’m excited to use this more, positive
I wish I hadn’t bought it, negative
Love it more every day, positive
I would never buy this again, negative
Best quality I’ve seen, positive
This is a complete waste, negative
Absolutely amazing, highly recommend, positive
I’m really unhappy with this product, negative
I love how it works, positive
Very poor experience, negative
Such a great product, positive
The worst experience I’ve had, negative
I can’t stop using this, positive
I absolutely adore this product,positive
This item broke the first time I used it,negative
Fantastic quality, highly recommend,positive
I had to return it because it didn’t work,negative
Very satisfied with my purchase,positive
I’m so frustrated with how it turned out,negative
This is by far the best thing I’ve bought,positive
I regret buying this,negative
It works better than I expected,positive
Such poor quality, negative
I’m extremely pleased with my purchase,positive
This was a huge disappointment,negative
I’m totally happy with my decision to buy this,positive
It failed to meet my expectations,negative
Very high quality, will buy again,positive
Wouldn’t recommend this to anyone, negative
This is exactly what I wanted,positive
I can’t believe I wasted my money,negative
Absolutely worth every penny,positive
It didn’t perform as advertised,negative
I can’t say enough good things about it,positive
It’s a complete disaster, negative
Best purchase I’ve made in a while,positive
I’m really unhappy with how it works,negative
I’m in love with this product,positive
Terrible, would never buy again,negative
This is the best purchase I’ve made,positive
Very disappointed, I won’t be buying this again,negative
I’m really impressed with the results,positive
This is not worth the price, negative
Couldn’t be happier with this product,positive
The product broke after a few uses,negative
I will definitely buy again,positive
It’s not great, but it’s okay,neutral
I’m really satisfied with my new purchase,positive
The customer service was a nightmare,negative
I’m very happy with how this turned out,positive
Completely useless, don’t waste your money,negative
This is exactly what I needed,positive
I would not recommend this product,negative
It’s better than I thought it would be,positive
The quality was disappointing,negative
I’m glad I decided to buy this,positive
The performance was subpar,negative
I’ve never been happier with a product,positive
I won’t be purchasing this again,negative
Exceeded all my expectations,positive
I would not buy this again,negative
I’m so happy with this product,positive
I’m so frustrated with this purchase,negative
Perfect, just what I needed,positive
This is a total waste of money,negative
Incredible value for money,positive
Horrible experience, would not buy again,negative
Great product, definitely recommend,positive
This product does not live up to the hype,negative
Extremely happy with my purchase,positive
It arrived late and was damaged,negative
I love everything about this product,positive
It didn’t work as I expected,negative
Fantastic item, I will definitely buy again,positive
Terrible quality, would not recommend,negative
I’ve already recommended this to my friends,positive
I feel completely let down,negative
Great purchase, worth every dollar,positive
I’m very dissatisfied,negative
Love it! Perfect for my needs,positive
Not as good as advertised,negative
Such a wonderful purchase,positive
I can’t believe how bad this is,negative
Definitely worth the price,positive
It’s broken, very disappointed,negative
The product is fantastic, highly recommend,positive
I will be returning this,negative
One of the best items I’ve ever bought,positive
This is a waste of space, negative
I’m extremely happy with my new product,positive
This was a waste of money, negative
Couldn’t be more satisfied,positive
I really regret buying this, negative
I’m so happy with how it works,positive
Very poor product, negative
I’m thrilled with this product,positive
I don’t think it’s worth the price,negative
Best purchase I’ve made this year,positive
This is the worst product I’ve ever used,negative
It’s everything I hoped for,positive
It didn’t even work out of the box,negative
I’m so impressed, definitely a great buy,positive
I’m so upset with this, negative
This product is exactly what I needed,positive
It’s definitely not as good as it looks,negative
I love how easy it is to use,positive
I wish I hadn’t purchased this,negative
I’m absolutely in love with this,positive
I will never buy this brand again,negative
So happy with my purchase,positive
Extremely poor quality, would not recommend,negative
I’m really impressed with how well it works,positive
This product was a complete letdown,negative
Very happy with this purchase,positive
I’m not sure it was worth the money,negative
This is a fantastic item, highly recommended,positive
Worst product I’ve ever bought,negative
Very satisfied, will definitely purchase again,positive
It doesn’t do what it claims,negative
This is an amazing product, positive
I won’t be purchasing from this brand again,negative
I absolutely love the design of this jacket,positive
The watch stopped working after a week,negative
This skincare cream has done wonders for my skin,positive
The headphones are way too noisy,negative
I’m pleasantly surprised by how well this works,positive
The camera is terrible, very disappointed,negative
The shoes are super comfortable, positive
This app crashes all the time, negative
It’s perfect for my needs, I highly recommend it,positive
The coffee maker leaks every time I use it,negative
I’m loving the new features in this software,positive
I can’t believe I wasted my money on this,negative
I’m obsessed with how smooth this laptop is,positive
The dress doesn’t fit as expected,negative
Amazing phone, super fast and reliable,positive
The battery life is terrible, negative
This blender has changed my mornings,positive
I’m not happy with the performance of this vacuum,negative
The website is so user-friendly, I love it,positive
The oven doesn’t heat evenly,negative
My pets love this new food,positive
I’m frustrated with the constant bugs in this game,negative
Great quality and very durable,positive
This microwave is so loud, it’s annoying,negative
It’s been a life-saver, works exactly as advertised,positive
The dress is poorly made, negative
So easy to use, and the results are fantastic,positive
I’m not sure if it’s worth the price,negative
The customer support was quick and very helpful,positive
The paint started peeling after a week, negative
I’ve been using this for a month now and love it,positive
It doesn’t live up to the hype, negative
I’m in love with this new smartphone,positive
It takes forever to charge, negative
This gaming chair is a game changer,positive
The app interface is terrible, negative
So impressed with how fast the delivery was,positive
I’ll never buy from this company again, negative
This backpack is both stylish and functional,positive
The fabric feels cheap,negative
I’ve never had a better experience shopping online,positive
The shoes hurt my feet after just an hour,negative
It’s definitely worth the investment,positive
Not worth the money, I feel ripped off,negative
I’m so happy with the customer service,positive
The product broke within a few days,negative
This coat keeps me warm all winter long,positive
The installation was a nightmare,negative
It works great, very satisfied,positive
I regret buying this, the quality is bad,negative
So glad I found this, really useful,positive
It wasn’t what I expected at all,negative
Highly recommend this gadget, it’s amazing,positive
The material is flimsy, it tore within days,negative
I’m loving the new updates, everything works perfectly,positive
The website was hard to navigate,negative
This jacket is worth every penny,positive
The color faded after washing, negative
Best purchase I’ve made in years, positive
The sound quality is awful, negative
I feel more comfortable with this mattress,positive
The delivery was delayed and unorganized,negative
It makes my morning routine so much easier,positive
It’s not as durable as it looks,negative
I’m never going back to my old phone, this one is amazing,positive
It takes forever to connect to Bluetooth, negative
So happy with my purchase, I use it every day,positive
The product description was misleading,negative
This tablet is fantastic, fast and efficient,positive
The remote control stopped working after a few uses,negative
This skincare routine has changed my complexion,positive
I had issues with the packaging, negative
Such a great experience, everything arrived in perfect condition,positive
The color doesn’t look like the pictures,negative
I’m so happy with this blender, it’s powerful,positive
I regret not buying this sooner, positive
The new gaming console is incredibly fast and responsive,positive
The mattress is way too firm for my liking,negative
This smartwatch tracks my workouts perfectly,positive
I had a terrible experience with the customer support team,negative
I love how lightweight and portable this laptop is,positive
The product stopped working after a week,negative
The food was delicious and perfectly cooked,positive
I’m not happy with the fabric quality, it feels cheap,negative
This coffee machine brews the perfect cup every time,positive
The app is too slow and crashes often,negative
I love how spacious this fridge is,positive
The packaging was damaged when it arrived,negative
This chair is so comfortable, I can sit for hours,positive
The phone screen cracked too easily,negative
I’m impressed by the sound quality of these earbuds,positive
The shoes hurt my feet after a couple of hours,negative
The new update made everything much easier to use,positive
I wish this blender had more power,negative
This vacuum is quiet yet powerful, I love it,positive
The color of the curtains is not as shown in the pictures,negative
I’m obsessed with how sleek this smartwatch looks,positive
The hoodie shrank after the first wash,negative
I’m really impressed with how fast the Wi-Fi router works,positive
The product didn’t meet my expectations at all,negative
This dishwasher is a lifesaver, it cleans so well,positive
I had to return the product because it was faulty,negative
This smartwatch syncs perfectly with my phone,positive
The coffee maker is a pain to clean,negative
The quality of this jacket is excellent, it’s warm and stylish,positive
The tablet screen freezes constantly,negative
This speaker is incredible, it’s so loud and clear,positive
I’m disappointed with the battery life, it barely lasts a day,negative
I highly recommend this skincare product, it’s worked wonders,positive
The scent of this perfume doesn’t last long,negative
I can’t believe how fast the delivery was,positive
The charger doesn’t work properly,negative
I’m very happy with the performance of this camera,positive
The app is very glitchy and not user-friendly,negative
This water bottle keeps my drink cool all day,positive
The material feels rough and uncomfortable,negative
The quality of the headphones is amazing, I use them every day,positive
The product broke after just a few uses,negative
I’m loving the new features in the phone,positive
The remote control is unresponsive, negative
This leather jacket is so soft and stylish, positive
The color on the product is fading already, negative
I’m obsessed with how easy it is to use this blender, positive
The shoes are too tight and uncomfortable, negative
This printer is fast and prints high-quality documents, positive
The phone constantly freezes and crashes, negative
I’m so glad I bought this jacket, it’s warm and cozy, positive
The TV screen has pixelated spots, negative
The quality of this wallet is excellent, positive
I regret buying this laptop, it’s so slow, negative
The new vacuum cleaner is a game-changer, positive
The camera is very slow and blurry, negative
I’m impressed with the build quality of this desk, positive
The charger overheats and doesn’t work properly, negative
This sunscreen is great, it doesn’t leave a greasy residue, positive
I didn’t like the smell of the product, negative
This bag is perfect for traveling, holds everything I need, positive
The material is very thin and rips easily, negative
This deodorant lasts all day, and I love the scent, positive
The product doesn’t fit as described, negative
I’m really impressed with how well this blender works, positive
The speaker stopped working after a month, negative
I can’t get enough of this jacket, it’s my new favorite, positive
The headphones started falling apart after a few weeks, negative
The new shampoo has made my hair feel so soft, positive
I’m not happy with the quality of the bag, it feels flimsy, negative
This watch has exceeded my expectations, positive
The product didn’t work as expected, negative
This pillow is incredibly comfortable, I sleep so much better, positive
The quality of the shoes is terrible, negative
This oven heats up quickly and cooks perfectly, positive
The remote is too complicated to use, negative
This jacket is so stylish and fits perfectly,positive
I can’t believe how bad the customer service is,negative
This coffee maker brews the best coffee I’ve ever had,positive
The product didn’t come with the promised accessories,negative
The camera quality is amazing, the best I’ve seen,positive
The food was bland and tasteless,negative
The washing machine is so quiet, I barely notice it,positive
The phone’s battery drains way too fast,negative
I absolutely love this backpack, it’s durable and spacious,positive
The shoes are way too uncomfortable to wear,negative
The sound quality of these speakers is out of this world,positive
I wish the app had more features,negative
This pillow is so soft and comfortable, I sleep like a baby,positive
The texture of the sweater is rough, I don’t like it,negative
I’m really impressed by the speed of this laptop,positive
The headphones are heavy and uncomfortable,negative
This blender works wonders, making smoothies in seconds,positive
The charging cable broke after a few days,negative
This smartwatch tracks my steps accurately, positive
The TV has poor picture quality, negative
This vacuum cleaner has made cleaning so much easier,positive
I’m disappointed with the size of the product, it’s too small,negative
The jacket keeps me warm even in the coldest weather,positive
The shoes started to wear out after just a month,negative
The new smartphone is lightning fast,positive
The toaster doesn’t toast evenly,negative
I can’t stop using this moisturizer, it’s so hydrating,positive
The food arrived cold and soggy,negative
This camera takes sharp, clear photos every time,positive
I regret buying this TV, the quality is awful,negative
This water bottle keeps my drink cold for hours,positive
The product didn’t work as advertised, negative
I’m obsessed with how easy it is to set up this printer,positive
The laptop screen has a lot of glare,negative
This chair is extremely comfortable, perfect for long hours,positive
The quality of the product is worse than I expected,negative
I love how quiet this dishwasher is, it’s a game-changer,positive
The watch is too bulky for my wrist,negative
I’ve never been so satisfied with a product,positive
The app is so buggy, it keeps freezing,negative
This is the best pair of sunglasses I’ve ever owned,positive
The shoes are too narrow and hurt my feet,negative
The quality of this pen is outstanding,positive
The charger doesn’t work properly, negative
This jacket is perfect for rainy days, it keeps me dry,positive
The camera lens is cracked, it’s useless,negative
This phone has the best battery life, positive
The microwave broke after two weeks,negative
This book is a must-read for anyone interested in history,positive
The product feels really cheap and fragile,negative
I’m really happy with the performance of this laptop,positive
I can’t get the app to work, it’s frustrating,negative
This vacuum is so powerful, it picks up everything,positive
The headphones don’t stay on my ears, negative
I’m so impressed with the sound clarity of this speaker,positive
The food didn’t taste fresh at all, negative
This lamp is perfect for my desk, the light is just right,positive
The product broke after a couple of uses, negative
This water filter works great, I can taste the difference,positive
I’m not impressed by the camera’s performance,negative
This fitness tracker is so accurate, positive
The product didn’t meet my expectations, negative
I’m very happy with how this mattress feels, it’s so comfortable,positive
The quality of the earbuds is very poor,negative
I’m loving the new features in this software update,positive
The product didn’t fit as described, negative
This deodorant lasts all day long,positive
The phone’s touchscreen is unresponsive,negative
I’m really impressed by how fast this laptop starts up,positive
The product didn’t perform as promised, negative
The new oven is so efficient, it heats up quickly,positive
I’m not happy with the color of this shirt,negative
The quality of the speaker is amazing, positive
This watch doesn’t work well with my phone, negative
This microwave is quick and easy to use,positive
The quality of the fabric is disappointing, negative